HolderAddress,Balance,PendingBalanceUpdate,,"{""address"":[",,0,,
0x000000000027d2efc283613d0c3e24a8b430c4d8,1.00E-18,No,"0x5d5942d7f93d2bf3acf066d25115addee46ce98b,","0x5d5942d7f93d2bf3acf066d25115addee46ce98b,",0x5d5942d7f93d2bf3acf066d25115addee46ce98b,0,,
0x0000001ea7022cd5d3666beb277c9dc323adc3d9,1.00E-18,No,"0x1cfa6c78599d0a08b61a8356736b9f7b7b156efc,","0x1cfa6c78599d0a08b61a8356736b9f7b7b156efc,",0x1cfa6c78599d0a08b61a8356736b9f7b7b156efc,0,,
0x00000000003503bad07dc2c8027052c5880d46cc,1.00E-18,No,"0xe32c8561c14f5fcc6a4d4310cd866ae48aadd533,","0xe32c8561c14f5fcc6a4d4310cd866ae48aadd533,",0xe32c8561c14f5fcc6a4d4310cd866ae48aadd533,0,,
0xcc0dab3636aad5db9c353761abeb9fd79238bd55,1.00E-18,No,"0x6455bc1c945b870e895749b8ec8169077649e3e1,","0x6455bc1c945b870e895749b8ec8169077649e3e1,",0x6455bc1c945b870e895749b8ec8169077649e3e1,0,,
0x414bc8ed24d4bc6fd704a48882b238322060f524,1.00E-18,No,"0x7a68bc394cc717ebe027bc076719646f29d43b1b,","0x7a68bc394cc717ebe027bc076719646f29d43b1b,",0x7a68bc394cc717ebe027bc076719646f29d43b1b,0,,
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,1.00E-18,No,"0x286d2d1d1dbfa5c3a6acc68e575687ed98fbebca,","0x286d2d1d1dbfa5c3a6acc68e575687ed98fbebca,",0x286d2d1d1dbfa5c3a6acc68e575687ed98fbebca,7.586673214,,
0x42b2c65db7f9e3b6c26bc6151ccf30cce0fb99ea,1.00E-18,No,"0xbc40878e24f3d1377a359714644cdee9cef84135,","0xbc40878e24f3d1377a359714644cdee9cef84135,",0xbc40878e24f3d1377a359714644cdee9cef84135,0,,
0x632d7ac9f4fc8ebf45d49a7e6a27138f96be378f,1.00E-18,No,"0x138e2e1acf63f8b3ebe0b601eddbbdac1bf21585,","0x138e2e1acf63f8b3ebe0b601eddbbdac1bf21585,",0x138e2e1acf63f8b3ebe0b601eddbbdac1bf21585,0,,
0x499dd900f800fd0a2ed300006000a57f00fa009b,1.00E-18,No,"0xeb5cef80460a8101bbac400f06353e153137de6d,","0xeb5cef80460a8101bbac400f06353e153137de6d,",0xeb5cef80460a8101bbac400f06353e153137de6d,0,,
0xb3a5d43e314db59b2792ad1c24020f6491769237,1.00E-18,No,"0xd836a5ceb79c8d90b39b4407edada9b6984f6c0f,","0xd836a5ceb79c8d90b39b4407edada9b6984f6c0f,",0xd836a5ceb79c8d90b39b4407edada9b6984f6c0f,0,,
